x;RGB_sum;Gray;Blurred;Contrasted
267;247;83;76;186
268;247;83;78;191
269;241;81;78;191
270;237;80;78;191
271;238;80;76;186
272;229;77;73;178
273;218;73;70;169
274;208;69;66;155
275;163;54;62;137
276;151;50;59;121
277;153;51;56;103
278;157;53;53;84
279;156;52;51;71
280;150;50;50;65
281;144;48;49;59
282;138;46;48;53
283;133;44;47;48
284;128;43;46;43
285;125;42;46;43
286;128;43;46;43
287;135;45;46;43
288;139;47;46;43
289;139;47;46;43
290;144;48;47;48
291;141;46;47;48
292;139;45;47;48
293;134;44;46;43
294;135;43;46;43
295;131;43;46;43
296;132;44;46;43
297;155;52;45;39
298;144;49;45;39
299;148;50;46;43
300;149;50;46;43
301;146;49;46;43
302;148;49;47;48
303;138;46;47;48
304;143;48;47;48
305;151;50;48;53
306;152;49;49;59
307;151;49;50;65
308;149;49;51;71
309;149;49;53;84
310;149;49;55;97
311;154;50;58;115
312;167;54;62;137
313;171;57;66;155
314;203;69;70;169
315;227;77;74;181
316;234;79;77;188
317;241;82;80;196
318;249;84;81;199
319;249;85;81;199
320;254;87;79;194
321;1;88;77;188
322;13;91;73;178
323;213;71;68;163
324;183;59;64;147
325;172;56;59;121
326;163;54;56;103
327;165;56;53;84
328;165;56;50;65
329;151;51;49;59
330;151;51;48;53
331;150;51;47;48
332;148;51;47;48
333;142;49;46;43
334;138;47;46;43
335;137;47;46;43
